DateKey	Date	Day	Weekno	Month	Monthshort	Monthno	Quarter	Year
20200101	1/1/2020	Wednesday	1	January	Jan	1	1	2020
20200102	1/2/2020	Thursday	1	January	Jan	1	1	2020
20200103	1/3/2020	Friday	1	January	Jan	1	1	2020
20200104	1/4/2020	Saturday	1	January	Jan	1	1	2020
20200105	1/5/2020	Sunday	2	January	Jan	1	1	2020
20200106	1/6/2020	Monday	2	January	Jan	1	1	2020
20200107	1/7/2020	Tuesday	2	January	Jan	1	1	2020
20200108	1/8/2020	Wednesday	2	January	Jan	1	1	2020
20200109	1/9/2020	Thursday	2	January	Jan	1	1	2020
20200110	1/10/2020	Friday	2	January	Jan	1	1	2020
20200111	1/11/2020	Saturday	2	January	Jan	1	1	2020
20200112	1/12/2020	Sunday	3	January	Jan	1	1	2020
20200113	1/13/2020	Monday	3	January	Jan	1	1	2020
20200114	1/14/2020	Tuesday	3	January	Jan	1	1	2020
20200115	1/15/2020	Wednesday	3	January	Jan	1	1	2020
20200116	1/16/2020	Thursday	3	January	Jan	1	1	2020
20200117	1/17/2020	Friday	3	January	Jan	1	1	2020
20200118	1/18/2020	Saturday	3	January	Jan	1	1	2020
20200119	1/19/2020	Sunday	4	January	Jan	1	1	2020
20200120	1/20/2020	Monday	4	January	Jan	1	1	2020
20200121	1/21/2020	Tuesday	4	January	Jan	1	1	2020
20200122	1/22/2020	Wednesday	4	January	Jan	1	1	2020
20200123	1/23/2020	Thursday	4	January	Jan	1	1	2020
20200124	1/24/2020	Friday	4	January	Jan	1	1	2020
20200125	1/25/2020	Saturday	4	January	Jan	1	1	2020
20200126	1/26/2020	Sunday	5	January	Jan	1	1	2020
20200127	1/27/2020	Monday	5	January	Jan	1	1	2020
20200128	1/28/2020	Tuesday	5	January	Jan	1	1	2020
20200129	1/29/2020	Wednesday	5	January	Jan	1	1	2020
20200130	1/30/2020	Thursday	5	January	Jan	1	1	2020
20200131	1/31/2020	Friday	5	January	Jan	1	1	2020
20200201	2/1/2020	Saturday	5	February	Feb	2	1	2020
20200202	2/2/2020	Sunday	6	February	Feb	2	1	2020
20200203	2/3/2020	Monday	6	February	Feb	2	1	2020
20200204	2/4/2020	Tuesday	6	February	Feb	2	1	2020
20200205	2/5/2020	Wednesday	6	February	Feb	2	1	2020
20200206	2/6/2020	Thursday	6	February	Feb	2	1	2020
20200207	2/7/2020	Friday	6	February	Feb	2	1	2020
20200208	2/8/2020	Saturday	6	February	Feb	2	1	2020
20200209	2/9/2020	Sunday	7	February	Feb	2	1	2020
20200210	2/10/2020	Monday	7	February	Feb	2	1	2020
20200211	2/11/2020	Tuesday	7	February	Feb	2	1	2020
20200212	2/12/2020	Wednesday	7	February	Feb	2	1	2020
20200213	2/13/2020	Thursday	7	February	Feb	2	1	2020
20200214	2/14/2020	Friday	7	February	Feb	2	1	2020
20200215	2/15/2020	Saturday	7	February	Feb	2	1	2020
20200216	2/16/2020	Sunday	8	February	Feb	2	1	2020
20200217	2/17/2020	Monday	8	February	Feb	2	1	2020
20200218	2/18/2020	Tuesday	8	February	Feb	2	1	2020
20200219	2/19/2020	Wednesday	8	February	Feb	2	1	2020
20200220	2/20/2020	Thursday	8	February	Feb	2	1	2020
20200221	2/21/2020	Friday	8	February	Feb	2	1	2020
20200222	2/22/2020	Saturday	8	February	Feb	2	1	2020
20200223	2/23/2020	Sunday	9	February	Feb	2	1	2020
20200224	2/24/2020	Monday	9	February	Feb	2	1	2020
20200225	2/25/2020	Tuesday	9	February	Feb	2	1	2020
20200226	2/26/2020	Wednesday	9	February	Feb	2	1	2020
20200227	2/27/2020	Thursday	9	February	Feb	2	1	2020
20200228	2/28/2020	Friday	9	February	Feb	2	1	2020
20200229	2/29/2020	Saturday	9	February	Feb	2	1	2020
20200301	3/1/2020	Sunday	10	March	Mar	3	1	2020
20200302	3/2/2020	Monday	10	March	Mar	3	1	2020
20200303	3/3/2020	Tuesday	10	March	Mar	3	1	2020
20200304	3/4/2020	Wednesday	10	March	Mar	3	1	2020
20200305	3/5/2020	Thursday	10	March	Mar	3	1	2020
20200306	3/6/2020	Friday	10	March	Mar	3	1	2020
